Temperature,Humidity,pH,Nitrogen,CropGrowthStage,OptimalPlantingTime,ExpectedCropYield
28,76,7,Medium,Seedling,Nov 03,1901
30,84,7,Medium,Fruiting,Oct 13,860
22,77,6,Medium,Fruiting,Oct 05,957
28,65,6,Low,Fruiting,Nov 15,955
22,81,7,Low,Vegetative,Oct 20,1105
28,60,7,High,Flowering,Sep 09,1162
30,58,7,High,Seedling,Sep 04,1545
29,82,6,High,Seedling,Sep 15,916
26,58,6,Medium,Seedling,Sep 06,1127
33,86,6,Medium,Vegetative,Oct 16,1996
30,79,6,Medium,Vegetative,Sep 21,1551
32,84,7,High,Vegetative,Sep 04,1333
31,84,6,Low,Fruiting,Nov 21,1989
31,88,7,High,Seedling,Nov 13,921
27,57,7,High,Vegetative,Sep 03,1243
33,71,7,Medium,Fruiting,Sep 21,1678
31,78,6,Medium,Fruiting,Sep 09,1280
27,54,7,High,Flowering,Oct 01,1672
24,79,7,Low,Seedling,Oct 25,1068
33,85,6,Medium,Seedling,Sep 14,1316
25,43,7,High,Flowering,Nov 17,1963
23,60,7,Medium,Seedling,Nov 18,2044
23,77,6,Medium,Seedling,Sep 05,1414
23,80,6,Low,Vegetative,Oct 09,1205
23,65,6,Low,Seedling,Oct 24,1390
31,57,7,High,Vegetative,Nov 06,1922
27,58,6,Low,Fruiting,Sep 20,1644
30,89,7,High,Fruiting,Nov 05,2145
31,71,7,Medium,Fruiting,Sep 10,1585
31,76,6,Medium,Flowering,Nov 04,1324
32,59,6,High,Fruiting,Nov 11,1960
28,53,7,High,Fruiting,Sep 05,1535
32,71,6,Low,Flowering,Oct 24,1747
27,63,7,Medium,Vegetative,Sep 27,1368
30,86,7,Low,Vegetative,Nov 09,1625
26,81,7,High,Fruiting,Oct 02,814
22,70,7,Low,Seedling,Sep 04,2162
33,44,6,Medium,Vegetative,Sep 02,2020
34,46,6,Low,Fruiting,Sep 25,1627
23,64,7,Low,Seedling,Oct 26,990
23,74,7,Low,Flowering,Oct 02,1131
27,66,7,Low,Vegetative,Oct 28,1600
35,60,7,Low,Seedling,Sep 24,1245
29,61,7,Medium,Vegetative,Nov 18,2056
22,54,7,Low,Fruiting,Sep 21,1915
25,61,7,Low,Seedling,Sep 24,991
22,85,6,Medium,Fruiting,Oct 11,1701
33,69,7,High,Flowering,Nov 13,1486
35,89,6,Low,Seedling,Nov 03,2086
22,75,7,Low,Seedling,Oct 10,963
34,47,6,High,Seedling,Oct 27,1706
31,75,7,High,Seedling,Oct 06,1399
28,76,6,Medium,Fruiting,Oct 06,1995
26,70,6,Medium,Flowering,Sep 05,1787
24,43,6,Medium,Vegetative,Sep 18,1892
23,69,7,High,Flowering,Nov 14,1792
29,66,6,Low,Fruiting,Sep 22,1167
30,82,6,High,Fruiting,Nov 21,1001
32,69,7,Low,Fruiting,Oct 02,1489
34,60,6,Low,Fruiting,Nov 02,2185
31,82,6,Low,Vegetative,Nov 09,1082
33,44,6,Medium,Vegetative,Nov 10,1107
30,71,6,High,Seedling,Nov 16,1065
30,90,7,Low,Fruiting,Sep 03,2134
29,80,7,High,Fruiting,Nov 09,992
31,53,6,High,Fruiting,Nov 13,1695
27,51,6,Medium,Fruiting,Oct 15,1732
29,41,6,Medium,Fruiting,Nov 12,2154
33,61,7,High,Seedling,Sep 28,1597
25,80,6,Low,Vegetative,Oct 15,1923
26,57,7,High,Fruiting,Sep 13,2090
32,60,7,Low,Fruiting,Sep 14,1496
25,60,6,High,Seedling,Nov 01,1142
26,59,6,Medium,Seedling,Nov 03,2188
25,42,7,Medium,Flowering,Oct 02,1144
25,48,7,Low,Vegetative,Nov 20,1626
32,90,6,High,Fruiting,Sep 29,844
28,52,6,High,Vegetative,Sep 18,1158
26,84,7,High,Flowering,Sep 13,1564
32,63,7,Low,Vegetative,Oct 22,1101
32,76,7,Low,Fruiting,Sep 17,1030
24,70,6,Low,Fruiting,Sep 16,864
26,82,6,High,Vegetative,Nov 16,1707
22,47,6,Low,Seedling,Oct 25,1282
23,89,6,Medium,Seedling,Sep 22,1581
24,55,7,Medium,Flowering,Oct 30,1988
32,88,7,High,Fruiting,Sep 11,1672
29,75,6,Low,Vegetative,Oct 24,1215
32,46,6,Low,Fruiting,Nov 09,1622
23,46,6,High,Seedling,Oct 11,1062
27,47,7,Medium,Seedling,Oct 18,2077
34,90,6,High,Vegetative,Oct 01,1620
31,47,7,High,Vegetative,Oct 06,1131
32,61,7,High,Fruiting,Oct 28,1668
23,80,6,Low,Fruiting,Nov 20,848
23,81,6,Medium,Fruiting,Oct 28,1956
26,47,6,Medium,Vegetative,Nov 14,1238
26,47,7,Low,Flowering,Nov 07,873
25,52,6,Low,Flowering,Oct 30,2082
29,48,7,Low,Flowering,Oct 08,922
